"Date","Price","Open","High","Low","Change %"
"09/11/2024","4.167","4.243","4.243","4.167","-1.86%"
"09/10/2024","4.246","4.263","4.263","4.223","-0.40%"
"09/09/2024","4.263","4.203","4.263","4.198","1.43%"
"09/06/2024","4.203","4.223","4.223","4.199","-0.54%"
"09/05/2024","4.226","4.245","4.245","4.193","-0.28%"
"09/04/2024","4.238","4.333","4.333","4.236","-2.08%"
"09/03/2024","4.328","4.340","4.375","4.328","-0.57%"
"09/02/2024","4.353","4.298","4.353","4.298","1.19%"
"08/30/2024","4.302","4.318","4.353","4.298","-0.14%"
"08/29/2024","4.308","4.285","4.330","4.270","0.82%"
"08/28/2024","4.273","4.253","4.295","4.250","0.56%"
"08/27/2024","4.249","4.200","4.253","4.200","1.41%"
"08/26/2024","4.190","4.230","4.230","4.180","-0.78%"
"08/23/2024","4.223","4.213","4.258","4.213","0.24%"
"08/22/2024","4.213","4.203","4.225","4.191","0.41%"
"08/21/2024","4.196","4.235","4.235","4.185","-1.01%"
"08/20/2024","4.239","4.213","4.245","4.198","0.71%"
"08/19/2024","4.209","4.153","4.221","4.143","1.06%"
"08/16/2024","4.165","4.173","4.230","4.153","-0.19%"
"08/15/2024","4.173","4.198","4.235","4.168","-0.45%"
"08/14/2024","4.192","4.260","4.261","4.175","-1.87%"
"08/13/2024","4.272","4.278","4.290","4.253","-0.26%"
"08/12/2024","4.283","4.290","4.308","4.268","-0.33%"
"08/09/2024","4.297","4.315","4.315","4.270","-0.53%"
"08/08/2024","4.320","4.338","4.370","4.310","-0.58%"
"08/07/2024","4.345","4.250","4.365","4.248","2.14%"
"08/06/2024","4.254","4.185","4.283","4.163","1.99%"
"08/05/2024","4.171","4.270","4.270","4.163","-2.36%"
"08/02/2024","4.272","4.300","4.300","4.230","-0.65%"
"08/01/2024","4.300","4.375","4.375","4.295","-1.38%"
"07/31/2024","4.360","4.433","4.455","4.360","-1.71%"
"07/30/2024","4.436","4.390","4.440","4.390","0.96%"
"07/29/2024","4.394","4.410","4.423","4.386","-0.25%"
"07/26/2024","4.405","4.455","4.458","4.395","-1.01%"
"07/25/2024","4.450","4.435","4.470","4.425","0.36%"
"07/24/2024","4.434","4.430","4.448","4.405","0.07%"
"07/23/2024","4.431","4.430","4.455","4.423","-0.31%"
"07/22/2024","4.445","4.403","4.460","4.403","1.11%"
"07/19/2024","4.396","4.375","4.403","4.362","0.41%"
"07/18/2024","4.378","4.418","4.418","4.366","-0.86%"
"07/17/2024","4.416","4.398","4.433","4.368","0.23%"
"07/16/2024","4.406","4.478","4.478","4.398","-1.39%"
"07/15/2024","4.468","4.538","4.538","4.463","-1.24%"
"07/12/2024","4.524","4.598","4.598","4.523","-1.50%"
"07/11/2024","4.593","4.615","4.638","4.593","-0.39%"
"07/10/2024","4.611","4.653","4.670","4.563","-1.05%"
"07/09/2024","4.660","4.690","4.693","4.645","-0.60%"
"07/08/2024","4.688","4.735","4.735","4.680","-0.47%"
"07/07/2024","4.710","4.715","4.715","4.710","-0.53%"
"07/05/2024","4.735","4.770","4.770","4.731","-0.73%"
"07/04/2024","4.770","4.738","4.770","4.708","0.72%"
"07/03/2024","4.736","4.705","4.744","4.690","0.74%"
"07/02/2024","4.701","4.678","4.748","4.678","0.53%"
"07/01/2024","4.676","4.698","4.723","4.669","-1.47%"
"06/30/2024","4.746","4.730","4.751","4.725","1.02%"
"06/27/2024","4.698","4.635","4.723","4.635","1.62%"
"06/26/2024","4.623","4.590","4.645","4.560","1.03%"
"06/25/2024","4.576","4.615","4.630","4.575","-0.93%"
"06/24/2024","4.619","4.648","4.648","4.613","-0.65%"
"06/21/2024","4.649","4.623","4.678","4.623","0.56%"
"06/20/2024","4.623","4.570","4.628","4.550","1.14%"
"06/19/2024","4.571","4.620","4.623","4.556","-1.34%"
"06/18/2024","4.633","4.623","4.660","4.618","0.02%"
"06/17/2024","4.632","4.640","4.640","4.609","-0.30%"
"06/16/2024","4.646","4.651","4.659","4.641","0.30%"
"06/14/2024","4.632","4.693","4.693","4.620","-1.30%"
"06/13/2024","4.693","4.768","4.768","4.690","-1.39%"
"06/12/2024","4.759","4.758","4.770","4.743","-0.13%"
"06/11/2024","4.765","4.755","4.805","4.745","0.00%"
"06/10/2024","4.765","4.658","4.765","4.658","-0.06%"
"06/09/2024","4.768","4.743","4.768","4.743","2.14%"
"06/07/2024","4.668","4.670","4.673","4.654","-0.04%"
"06/06/2024","4.670","4.703","4.713","4.663","-0.76%"
"06/05/2024","4.706","4.765","4.765","4.698","-1.34%"
"06/04/2024","4.770","4.850","4.850","4.748","-0.63%"
"06/03/2024","4.800","4.784","4.800","4.784","-0.83%"
"05/31/2024","4.840","4.920","4.920","4.838","-1.63%"
"05/30/2024","4.920","4.920","4.945","4.913","0.22%"
"05/29/2024","4.909","4.848","4.928","4.848","1.34%"
"05/28/2024","4.844","4.820","4.853","4.806","0.79%"
"05/27/2024","4.806","4.808","4.820","4.800","-0.76%"
"05/26/2024","4.843","4.843","4.843","4.843","0.67%"
"05/24/2024","4.811","4.768","4.815","4.768","0.84%"
"05/23/2024","4.771","4.713","4.780","4.713","1.12%"
"05/22/2024","4.718","4.670","4.723","4.666","0.94%"
"05/21/2024","4.674","4.650","4.683","4.650","0.43%"
"05/20/2024","4.654","4.633","4.658","4.633","-0.69%"
"05/19/2024","4.687","4.661","4.687","4.661","1.09%"
"05/17/2024","4.636","4.608","4.653","4.605","0.61%"
"05/16/2024","4.608","4.690","4.690","4.600","-1.75%"
"05/15/2024","4.690","4.718","4.731","4.683","-0.66%"
"05/14/2024","4.721","4.755","4.755","4.718","-0.72%"
"05/13/2024","4.755","4.763","4.783","4.751","-0.80%"
"05/12/2024","4.793","4.793","4.793","4.793","0.49%"
"05/10/2024","4.770","4.773","4.773","4.745","0.23%"
"05/09/2024","4.759","4.698","4.775","4.698","1.30%"
"05/08/2024","4.698","4.750","4.750","4.668","-0.78%"
"05/07/2024","4.735","4.800","4.800","4.735","-1.23%"
"05/06/2024","4.794","4.855","4.855","4.790","-1.05%"
"05/05/2024","4.845","4.889","4.889","4.845","-0.21%"
"05/03/2024","4.855","4.898","4.898","4.823","-0.80%"
"05/02/2024","4.894","4.950","4.955","4.890","-1.29%"
"05/01/2024","4.958","4.925","4.973","4.918","0.45%"
"04/30/2024","4.936","4.988","4.998","4.915","-0.88%"
