"Date","Price","Open","High","Low","Change %"
"08/07/2024","3.9530","3.9250","3.9770","3.9210","0.79%"
"08/06/2024","3.9220","3.8920","3.9290","3.8620","1.27%"
"08/05/2024","3.8730","3.7870","3.8760","3.7420","1.10%"
"08/02/2024","3.8310","3.8360","3.8760","3.7990","-1.47%"
"08/01/2024","3.8880","3.9390","3.9540","3.8580","-2.09%"
"07/31/2024","3.9710","4.0250","4.0280","3.9690","-1.88%"
"07/30/2024","4.0470","4.0460","4.0740","4.0240","-0.15%"
"07/29/2024","4.0530","4.0850","4.0850","4.0190","-1.22%"
"07/26/2024","4.1030","4.1560","4.1840","4.0710","-0.75%"
"07/25/2024","4.1340","4.1600","4.1660","4.0970","-0.58%"
"07/24/2024","4.1580","4.1230","4.1710","4.1120","0.75%"
"07/23/2024","4.1270","4.1600","4.1730","4.1250","-0.89%"
"07/22/2024","4.1640","4.1110","4.1650","4.1090","0.92%"
"07/19/2024","4.1260","4.0640","4.1390","4.0620","1.50%"
"07/18/2024","4.0650","4.0720","4.0860","4.0330","-0.32%"
"07/17/2024","4.0780","4.0630","4.1010","4.0610","0.64%"
"07/16/2024","4.0520","4.0940","4.0950","4.0500","-1.27%"
"07/15/2024","4.1040","4.1230","4.1320","4.0930","-0.19%"
"07/12/2024","4.1120","4.1080","4.1560","4.0980","0.81%"
"07/11/2024","4.0790","4.1370","4.1780","4.0770","-1.23%"
"07/10/2024","4.1300","4.1310","4.1420","4.0940","-0.75%"
"07/09/2024","4.1610","4.1280","4.1760","4.1220","1.09%"
"07/08/2024","4.1160","4.1610","4.1640","4.1030","-0.31%"
"07/05/2024","4.1290","4.1860","4.1870","4.1250","-1.74%"
"07/04/2024","4.2020","4.1740","4.2090","4.1740","0.72%"
"07/03/2024","4.1720","4.2470","4.2470","4.1550","-1.90%"
"07/02/2024","4.2530","4.2610","4.2740","4.2180","-0.82%"
"07/01/2024","4.2880","4.2070","4.2930","4.2060","2.68%"
"06/28/2024","4.1760","4.1310","4.1920","4.1150","1.04%"
"06/27/2024","4.1330","4.1460","4.1730","4.1120","-0.10%"
"06/26/2024","4.1370","4.0860","4.1450","4.0840","1.42%"
"06/25/2024","4.0790","4.0640","4.0880","4.0370","-0.12%"
"06/24/2024","4.0840","4.0800","4.0980","4.0550","0.07%"
"06/21/2024","4.0810","4.0350","4.0940","4.0030","0.62%"
"06/20/2024","4.0560","4.0900","4.1030","4.0290","-0.37%"
"06/19/2024","4.0710","4.0480","4.0960","4.0430","0.44%"
"06/18/2024","4.0530","4.1070","4.1180","4.0480","-1.55%"
"06/17/2024","4.1170","4.0640","4.1250","4.0560","1.33%"
"06/14/2024","4.0630","4.1350","4.1350","4.0370","-1.48%"
"06/13/2024","4.1240","4.1540","4.1850","4.1220","-0.12%"
"06/12/2024","4.1290","4.2480","4.2600","4.1240","-3.35%"
"06/11/2024","4.2720","4.3020","4.3110","4.2630","-1.27%"
"06/10/2024","4.3270","4.2820","4.3350","4.2810","1.48%"
