"Date","Price","Open","High","Low","Change %"
"02/10/2025","0.344","0.393","0.393","0.373","-3.64%"
"02/07/2025","0.357","0.396","0.410","0.380","6.25%"
"02/06/2025","0.336","0.385","0.388","0.358","-0.44%"
"02/05/2025","0.338","0.382","0.382","0.339","-2.32%"
"02/04/2025","0.345","0.368","0.370","0.358","6.97%"
"02/03/2025","0.323","0.406","0.406","0.329","-10.77%"
"01/31/2025","0.362","0.447","0.447","0.385","-11.06%"
"01/30/2025","0.407","0.450","0.452","0.416","-5.57%"
"01/29/2025","0.431","0.455","0.455","0.431","-1.26%"
"01/28/2025","0.437","0.444","0.460","0.434","3.80%"
"01/27/2025","0.421","0.452","0.452","0.412","-3.22%"
"01/24/2025","0.435","0.440","0.466","0.429","6.11%"
"01/23/2025","0.410","0.413","0.428","0.398","9.20%"
"01/22/2025","0.375","0.399","0.399","0.361","7.60%"
"01/21/2025","0.349","0.393","0.397","0.357","1.31%"
"01/20/2025","0.344","0.389","0.389","0.359","-2.13%"
"01/17/2025","0.352","0.404","0.425","0.370","-9.41%"
"01/16/2025","0.388","0.411","0.422","0.400","0.26%"
"01/15/2025","0.387","0.516","0.516","0.411","-15.59%"
"01/14/2025","0.458","0.506","0.506","0.464","1.66%"
"01/13/2025","0.451","0.494","0.494","0.455","9.20%"
"01/10/2025","0.413","0.442","0.445","0.411","11.17%"
"01/09/2025","0.371","0.423","0.424","0.382","-0.27%"
"01/08/2025","0.373","0.428","0.444","0.397","-1.59%"
"01/07/2025","0.379","0.397","0.421","0.367","13.15%"
"01/06/2025","0.335","0.311","0.379","0.294","29.40%"
"01/03/2025","0.259","0.280","0.295","0.251","2.99%"
"12/30/2024","0.251","0.294","0.307","0.268","-9.87%"
"12/27/2024","0.278","0.265","0.294","0.264","10.08%"
"12/23/2024","0.253","0.267","0.282","0.261","4.55%"
"12/20/2024","0.242","0.303","0.303","0.261","-3.78%"
"12/19/2024","0.252","0.326","0.326","0.273","1.41%"
"12/18/2024","0.248","0.285","0.298","0.264","-3.31%"
"12/17/2024","0.257","0.238","0.285","0.232","24.51%"
"12/16/2024","0.206","0.280","0.280","0.205","-11.40%"
"12/13/2024","0.233","0.338","0.338","0.247","-12.92%"
"12/12/2024","0.267","0.334","0.339","0.276","0.00%"
"12/11/2024","0.267","0.315","0.315","0.253","17.36%"
"12/10/2024","0.228","0.288","0.299","0.245","6.56%"
"12/09/2024","0.213","0.220","0.238","0.216","0.00%"
"12/06/2024","0.213","0.266","0.266","0.221","6.50%"
"12/05/2024","0.200","0.217","0.229","0.186","15.94%"
"12/04/2024","0.172","0.233","0.251","0.188","-12.66%"
"12/03/2024","0.198","0.215","0.234","0.198","10.34%"
"12/02/2024","0.179","0.276","0.276","0.189","-14.56%"
"11/29/2024","0.209","0.292","0.296","0.229","-21.54%"
"11/28/2024","0.267","0.337","0.368","0.294","-8.25%"
"11/27/2024","0.291","0.329","0.333","0.299","-3.16%"
"11/26/2024","0.301","0.323","0.339","0.308","0.00%"
"11/25/2024","0.301","0.343","0.346","0.313","-9.20%"
"11/22/2024","0.331","0.439","0.445","0.338","-8.68%"
"11/21/2024","0.363","0.414","0.437","0.387","-1.63%"
"11/20/2024","0.369","0.471","0.471","0.406","0.41%"
"11/19/2024","0.368","0.411","0.426","0.364","2.37%"
"11/18/2024","0.359","0.381","0.416","0.380","0.00%"
"11/15/2024","0.359","0.436","0.436","0.374","-3.36%"
"11/14/2024","0.372","0.429","0.472","0.386","2.62%"
"11/13/2024","0.363","0.446","0.460","0.389","1.97%"
"11/12/2024","0.356","0.396","0.432","0.366","3.34%"
"11/11/2024","0.344","0.398","0.410","0.363","-6.52%"
"11/08/2024","0.368","0.436","0.436","0.386","-5.64%"
"11/07/2024","0.390","0.412","0.421","0.391","2.77%"
"11/06/2024","0.380","0.429","0.434","0.391","-8.55%"
