PERMNO,date,ticker,divamt,prc,ret,retx,vwretd,vwretx
89468,2023-12-19,TLT,,98.89,0.005388,0.005388,0.007711,0.007626
89468,2023-12-20,TLT,,99.56,0.006775,0.006775,-0.014802,-0.015095
89468,2023-12-21,TLT,,98.93,-0.006328,-0.006328,0.011213,0.011131
89468,2023-12-22,TLT,,98.475,-0.004599,-0.004599,0.002434,0.002366
89468,2023-12-26,TLT,,98.76,0.002894,0.002894,0.005223,0.005204
89468,2023-12-27,TLT,,100.51,0.01772,0.01772,0.001989,0.001802
89468,2023-12-28,TLT,,99.78,-0.007263,-0.007263,-0.000111,-0.000298
89468,2023-12-29,TLT,,98.88,-0.00902,-0.00902,-0.004049,-0.004087
89468,2024-01-02,TLT,,98.31,-0.005765,-0.005765,-0.006546,-0.00659
89468,2024-01-03,TLT,,98.72,0.004171,0.004171,-0.010015,-0.010046
89468,2024-01-04,TLT,,97.22,-0.015194,-0.015194,-0.002642,-0.002737
89468,2024-01-05,TLT,,96.29,-0.009566,-0.009566,0.001646,0.00164
89468,2024-01-08,TLT,,97.24,0.009866,0.009866,0.014021,0.014006
89468,2024-01-09,TLT,,96.62,-0.006376,-0.006376,-0.002547,-0.002665
89468,2024-01-10,TLT,,96.17,-0.004657,-0.004657,0.004685,0.004666
89468,2024-01-11,TLT,,96.71,0.005615,0.005615,-0.001333,-0.001372
89468,2024-01-12,TLT,,96.52,-0.001965,-0.001965,0.00055,0.000489
89468,2024-01-16,TLT,,94.82,-0.017613,-0.017613,-0.005242,-0.005257
89468,2024-01-17,TLT,,94.67,-0.001582,-0.001582,-0.006324,-0.006339
89468,2024-01-18,TLT,,93.79,-0.009295,-0.009295,0.008049,0.007987
89468,2024-01-19,TLT,,94.09,0.003199,0.003199,0.011554,0.011513
89468,2024-01-22,TLT,,94.65,0.005952,0.005952,0.003822,0.003813
89468,2024-01-23,TLT,,93.9,-0.007924,-0.007924,0.002103,0.002082
89468,2024-01-24,TLT,,93.35,-0.005857,-0.005857,-0.000321,-0.000351
