Date,FXB,FXC,FXE,FXF,FXY,FXB_mom_1m,FXB_mom_3m,FXB_mom_12m,FXC_mom_1m,FXC_mom_3m,FXC_mom_12m,FXE_mom_1m,FXE_mom_3m,FXE_mom_12m,FXF_mom_1m,FXF_mom_3m,FXF_mom_12m,FXY_mom_1m,FXY_mom_3m,FXY_mom_12m,EURUSD=X,GBPUSD=X,USDCAD=X,USDCHF=X,USDJPY=X,VIX,MOVE,US_T10Y,GBP_T10Y,JPY_T10Y,EUR_T10Y,CHF_T10Y,CAD_T10Y,US_T10Y_change,GBP_T10Y_change,JPY_T10Y_change,EUR_T10Y_change,CHF_T10Y_change,CAD_T10Y_change
2023-11-21,115.68585205078125,69.64982604980469,98.04859161376953,100.63871002197266,62.56999969482422,0.026257206322477744,-0.007096268636045844,0.08123886587538376,0.001606890825340157,-0.006335776221023881,-0.0026991921431965826,0.024556412278517126,0.009647863660957379,0.07186584896957982,0.008607125516598035,-0.006597122253938492,0.07576189066484651,0.007893006593379548,-0.025237617774836463,-0.05909774895001174,1.0945948362350464,1.2509069442749023,1.3724100589752197,0.8843600153923035,148.36199951171875,13.350000381469727,112.79000091552734,4.398,4.108,0.697,2.555,0.956,3.645,-0.02800000000000047,-0.020000000000000462,-0.04700000000000004,-0.06000000000000005,-0.04200000000000004,-0.008000000000000007
2023-11-22,115.39805603027344,69.68881225585938,97.8540267944336,100.6487045288086,62.060001373291016,0.0303503842291164,0.0004843852722271613,0.08215084923218607,0.004980092393124469,-0.002331142869469449,0.0026625697750031208,0.029311477493767946,0.012891822725019209,0.07902341821292436,0.010732179045764845,0.0013057281717285818,0.08176296449120057,0.001613981444415824,-0.02650978237974877,-0.055403283775168566,1.0918222665786743,1.2544218301773071,1.3701000213623047,0.8831800222396851,148.15199279785156,12.850000381469727,111.56999969482422,4.408,4.16,0.731,2.565,0.973,3.654,0.010000000000000675,0.05200000000000049,0.03400000000000003,0.009999999999999787,0.017000000000000015,0.008999999999999897
2023-11-24,116.45340728759766,70.18602752685547,98.33074951171875,100.89860534667969,62.11000061035156,0.04369610202221064,0.009800778478656236,0.0868894570423635,0.016428615939572566,0.006182614348889004,0.00387969274989719,0.03718623051716041,0.01792849578814626,0.07800474062837615,0.017223756072103358,0.0030937044767394006,0.0768144714942598,0.003554713570411261,-0.02250551281982005,-0.060078709302296085,1.0906314849853516,1.2533526420593262,1.3695000410079956,0.8844699859619141,149.63499450683594,12.460000038146973,107.43000030517578,4.472,4.283,0.771,2.645,1.036,3.717,0.019000000000000128,0.029000000000000803,0.03200000000000003,0.021999999999999797,0.030000000000000027,0.004999999999999893
2023-11-27,116.6548843383789,70.1275405883789,98.54476928710938,101.03855895996094,62.4900016784668,0.04514348877161334,0.009964374260824638,0.07328042105204058,0.01744557955695014,0.005204850350983392,0.0024951796179226715,0.040082830032554195,0.0188174786758748,0.06954644515577546,0.021826488210860084,0.004285340752460565,0.0665896187456787,0.012147715899100353,-0.014819464325814935,-0.06661681065084035,1.0940439701080322,1.2600330114364624,1.3630499839782715,0.8822500109672546,149.5709991455078,12.6899995803833,109.30999755859375,4.39,4.212,0.775,2.555,0.961,3.656,-0.08200000000000074,-0.07100000000000062,0.0040000000000000036,-0.08999999999999986,-0.07500000000000007,-0.06099999999999994
2023-11-28,117.32646942138672,70.34203338623047,98.80744934082031,101.2884521484375,62.9900016784668,0.05134056695847833,0.011943703604266886,0.07630419747169337,0.024026530877219843,0.005207308373679442,0.006386495807064518,0.04178786505921139,0.014934260289942491,0.07206248163339635,0.026844838693285134,-8.480699930391022e-05,0.07410068880862752,0.014331774979295497,-0.01161145251976825,-0.06125181652931677,1.0958423614501953,1.2634397745132446,1.360700011253357,0.8799999952316284,148.45199584960938,12.6899995803833,110.05999755859375,4.325,4.172,0.756,2.495,0.917,3.579,-0.0649999999999995,-0.040000000000000036,-0.019000000000000017,-0.06000000000000005,-0.04399999999999993,-0.07699999999999996
2023-11-29,117.28809356689453,70.24452209472656,98.6712646484375,101.74826049804688,62.9900016784668,0.04597491949294685,0.00706654407063545,0.0893439801909437,0.018998767960964225,0.0017332960946492282,0.01414513203529455,0.03568642622340623,0.01022193334774224,0.07810776125984753,0.03119276724059672,0.005843863709299457,0.08380126711070801,0.01058879878105956,-0.008967899347210206,-0.06195085261180355,1.100594401359558,1.2712295055389404,1.3562999963760376,0.8769000172615051,147.06300354003906,12.979999542236328,114.58999633789062,4.259,4.102,0.679,2.424,0.867,3.509,-0.06599999999999984,-0.0699999999999994,-0.07699999999999996,-0.07100000000000017,-0.050000000000000044,-0.07000000000000028
2023-11-30,116.53016662597656,70.36148834228516,97.89293670654297,101.58831787109375,62.619998931884766,0.04045861852178545,0.0031820523002557,0.08070556921486993,0.023150638685554448,0.001739767231592193,0.021614320646412333,0.030773651637851396,0.009251574165345389,0.07027697443893555,0.038832085262444416,0.009148388205725944,0.08649312979167179,0.021866843656671353,-0.020337911049755575,-0.06829341191954141,1.0973695516586304,1.2696397304534912,1.3590199947357178,0.8733199834823608,147.03900146484375,12.920000076293945,115.31999969482422,4.33,4.176,0.676,2.449,0.878,3.548,0.07099999999999973,0.07399999999999984,-0.0030000000000000027,0.02499999999999991,0.01100000000000001,0.039000000000000146
2023-12-01,117.46809387207031,70.78351593017578,97.82763671875,102.30709075927734,63.209999084472656,0.04898583061806039,0.017483025128961494,0.08076233555286949,0.029389355537174477,0.013817063883759362,0.017993026583011495,0.031523063263251716,0.01490676445469541,0.06143149825957028,0.0444846274636872,0.01891880104055943,0.08570819945766384,0.026636339090095884,-0.006444512013448422,-0.0642487604916876,1.0892059803009033,1.2631685733795166,1.3556499481201172,0.8746600151062012,147.99899291992188,12.630000114440918,111.51000213623047,4.209,4.143,0.704,2.361,0.791,3.422,-0.12100000000000044,-0.03300000000000036,0.027999999999999914,-0.08799999999999963,-0.08699999999999997,-0.1259999999999999
2023-12-04,116.76583862304688,70.55884552001953,97.45722198486328,101.88723754882812,63.02000045776367,0.03817836359060656,0.014082375542648018,0.058168481210214784,0.016466506617761834,0.013559885237218516,0.013450704966191607,0.022373353378625227,0.016583782505296796,0.04548787147237521,0.03776250012336213,0.01950692271999732,0.07012903509112145,0.0205668090326101,0.0014301629135775595,-0.08653424541039212,1.088814616203308,1.2713103294372559,1.348870038986206,0.8678500056266785,146.39300537109375,13.079999923706055,118.25,4.259,4.199,0.69,2.35,0.781,3.449,0.05000000000000071,0.05600000000000005,-0.014000000000000012,-0.01100000000000012,-0.010000000000000009,0.02699999999999969
2023-12-05,116.41952514648438,70.28531646728516,97.08680725097656,101.6473159790039,63.04999923706055,0.020474984107053062,0.015619789814849794,0.05154263359424349,0.00686927255506431,0.009630709904838053,0.01188657698150708,0.008095828883512457,0.012003652175531343,0.04044267552872394,0.026643171387953357,0.018940517661289347,0.06828222320383559,0.014481056944252613,0.0019068636787356041,-0.09228332755398816,1.0837758779525757,1.2634079456329346,1.3538999557495117,0.8725100159645081,147.32699584960938,12.850000381469727,127.19999694824219,4.167,4.03,0.675,2.238,0.727,3.341,-0.09200000000000053,-0.1689999999999996,-0.014999999999999902,-0.1120000000000001,-0.05400000000000005,-0.10799999999999965
